StartDate,EndDate,Duration (in seconds),trt1,trt2,trt3,,
2022-05-18 9:31,2022-05-18 9:31,23,,,welcome,,
2022-05-18 9:30:27,2022-05-18 9:32:21,113,blue,,,,
2022-05-18 9:30:46,2022-05-18 9:32:37,110,blue,,,,
2022-05-18 9:31:47,2022-05-18 9:32:51,64,blue,,,,
2022-05-18 9:31:04,2022-05-18 9:32:56,111,blue,,,,
2022-05-18 9:30:57,2022-05-18 9:33:01,124,,blue,,,
2022-05-18 9:31:27,2022-05-18 9:33:02,94,,,blue,,
2022-05-18 9:30:50,2022-05-18 9:33:06,135,,,blue,,
2022-05-18 9:30:55,2022-05-18 9:33:21,146,,blue,,,
2022-05-18 9:30:32,2022-05-18 9:33:22,170,,,blue,,
2022-05-18 9:32:11,2022-05-18 9:33:26,75,,blue,,,
2022-05-18 9:31:07,2022-05-18 9:33:29,141,,blue,,,
2022-05-18 9:31:15,2022-05-18 9:33:36,140,blue,,,,
2022-05-18 9:30:35,2022-05-18 9:33:38,182,,,blue,,
2022-05-18 9:32:19,2022-05-18 9:33:42,83,,blue,,,
2022-05-18 9:32:03,2022-05-18 9:33:53,109,,,blue,,
2022-05-18 9:32:52,2022-05-18 9:34:10,78,,,blue,,
2022-05-18 9:32:52,2022-05-18 9:34:20,88,BUSN20710,,,,
2022-05-18 9:31:39,2022-05-18 9:34:24,164,,,blue,,
2022-05-18 9:32:25,2022-05-18 9:34:36,131,,,blue,,
2022-05-18 9:32:55,2022-05-18 9:34:37,101,blue,,,,
2022-05-18 9:30:28,2022-05-18 9:34:43,255,blue,,,,
2022-05-18 9:32:49,2022-05-18 9:34:47,118,,blue,,,
2022-05-18 9:33:46,2022-05-18 9:34:54,67,,,blue,,
2022-05-18 9:32:02,2022-05-18 9:34:56,174,,,blue,,
2022-05-18 9:34:41,2022-05-18 9:34:58,17,,Cheese,,,
2022-05-18 9:32:21,2022-05-18 9:35:00,158,,,blue,,
2022-05-18 9:33:03,2022-05-18 9:35:01,118,blue,,,,
2022-05-18 9:32:13,2022-05-18 9:35:09,176,,,blue,,
2022-05-18 9:32:47,2022-05-18 9:35:12,144,,blue,,,
2022-05-18 9:32:55,2022-05-18 9:35:18,143,blue,,,,
2022-05-18 9:33:34,2022-05-18 9:35:20,105,,,blue,,
2022-05-18 9:32:42,2022-05-18 9:35:20,158,,blue,,,
2022-05-18 9:32:30,2022-05-18 9:35:22,171,blue,,,,
2022-05-18 9:33:18,2022-05-18 9:35:22,124,,,Blue,,
2022-05-18 9:33:18,2022-05-18 9:35:22,124,,blue,,,
2022-05-18 9:32:49,2022-05-18 9:35:23,154,,,blue,,
2022-05-18 9:33:22,2022-05-18 9:35:24,121,,,blue,,
2022-05-18 9:32:47,2022-05-18 9:35:25,158,,blue,,,
2022-05-18 9:33:52,2022-05-18 9:35:32,100,blue,,,,
2022-05-18 9:32:45,2022-05-18 9:35:33,168,blue,,,,
2022-05-18 9:32:45,2022-05-18 9:35:34,169,blue,,,,
2022-05-18 9:33:09,2022-05-18 9:35:35,146,,blue,,,
2022-05-18 9:33:30,2022-05-18 9:35:38,127,,blue,,,
2022-05-18 9:33:09,2022-05-18 9:35:47,158,,,blue,,
2022-05-18 9:33:00,2022-05-18 9:35:51,171,,,blue,,
2022-05-18 9:34:51,2022-05-18 9:35:52,61,,blue,,,
2022-05-18 9:33:39,2022-05-18 9:35:57,138,,Blue,,,
2022-05-18 9:33:20,2022-05-18 9:36:08,168,,The Balloon Game BUSN 20710: Emily Lin and Hugo Chan  Thank you for participating!,,,
2022-05-18 9:34:16,2022-05-18 9:36:15,119,blue,,,,
2022-05-18 9:35:01,2022-05-18 9:36:18,77,,,blue,,
2022-05-18 9:33:21,2022-05-18 9:36:20,179,,,blue,,
