b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12
11,10,7,6,9,6,5,5,5,5,5,5
6,8,7,7,7,6,5,6,6,6,6,5
13,10,7,7,9,6,5,5,5,5,6,5
0,10,7,7,9,6,5,7,10,5,6,5
12,10,7,7,7,6,5,5,5,9,6,5
13,9,7,6,6,6,5,4,4,5,4,5
6,7,7,6,6,6,5,4,4,4,4,5
0,16,7,7,4,6,5,2,3,4,3,4
6,7,7,6,6,6,5,3,4,3,4,4
4,4,4,3,3,3,3,4,3,3,3,2
10,11,7,7,5,6,5,5,5,6,6,5
13,12,7,7,6,6,5,4,10,9,6,5
6,3,5,6,4,6,4,5,5,3,4,5
5,10,7,7,1,5,5,3,4,5,5,5
13,8,7,4,5,6,4,6,5,7,6,5
6,6,7,6,7,6,5,10,10,9,6,5
7,6,6,6,7,6,5,4,5,5,5,5
7,3,6,6,8,6,5,4,3,5,5,5
3,2,2,3,2,2,3,2,3,2,3,3
3,5,6,7,5,5,3,4,4,5,3,5
13,6,7,6,7,6,5,7,7,9,6,5
13,8,7,6,6,6,5,6,4,3,6,3
8,10,7,3,6,6,5,4,5,6,6,5
12,16,7,7,9,6,5,5,10,10,6,5
5,7,6,6,6,6,4,4,5,5,6,4
13,6,6,7,5,6,5,6,6,6,6,5
13,11,7,7,8,6,5,6,8,10,6,5
13,9,7,7,5,6,5,5,7,10,6,5
8,9,7,6,7,6,5,8,8,8,6,5
13,12,7,7,6,3,5,10,10,9,6,4
10,16,7,7,8,6,5,5,5,10,6,5
5,10,7,7,9,6,5,5,5,7,6,5
10,12,7,7,5,6,5,4,7,7,6,5
13,6,7,5,6,6,5,5,5,5,6,5
10,10,7,7,5,6,5,4,5,7,6,5
13,13,7,7,9,6,5,4,8,9,6,5
10,7,7,6,8,6,5,7,8,9,6,5
4,4,4,5,5,5,5,4,5,4,5,5
13,7,7,7,6,6,5,6,6,6,6,5
13,12,7,7,5,6,5,5,4,5,6,5
